,artist_name,track_name,track_id,popularity
232,Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,80
233,Armin van Buuren,A State Of Trance Year Mix 2020 (Mixed) - Road To 1000 - Outro,20SVXjKX2ieAWba04Y1ogp,30
234,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,85
235,Craig Connelly,All For Love (Mixed) - Giuseppe Ottaviani Remix,09wxSxAi0WlO4z1MSQ4kmu,37
236,Glass Animals,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,80
237,Davey Asprey,Oblivion (Mixed),0ouOsV3aLbdVBJwcLFXEhF,37
238,Lil Uzi Vert,Myron,56uXDJRCuoS7abX3SkzHKQ,78
239,Aly & Fila,Wasteland (with James Dymond) [Mixed],5pjLKxr5RlnLI870TzeOCy,37
240,Juice WRLD,Conversations,4K06PO78fW4mnBVenxGNob,78
241,No Spirit,It’s Been A Year,3YYni1jodOmekz697cuwhl,22
242,Machine Gun Kelly,bloody valentine,6mADjHs6FXdroPzEGW6KVJ,79
243,Giuseppe Ottaviani,I Believe (Mixed),3aVHcynJPIdHMWdpOCd1a7,36
244,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,81
245,Robbie Seed,My Remedy (Mixed),6sJtKzKSvGCzjO6Ror5aPL,36
246,Giveon,LIKE I WANT YOU,6qBFSepqLCuh5tehehc1bd,78
247,Ciaran McAuley,Daring To Love (Mixed),5xkBuxk7FmxNCkwzsGqXC6,36
248,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,83
249,Factor B,Bravo (Mixed),0KotSXVYLp98BWAEiWooSi,36
250,Jason Derulo,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,87
251,Philippe El Sisi,The Phoenix (FSOE 650 Anthem) [Mixed],44RvSbN0KsreQP41JTnTda,36
252,DUSTY LOCANE,ROLLIN N CONTROLLIN FREESTYLE,1xqRKo0SDFDO5Jy8yEVD0X,79
253,Alessandra Roncone,What Makes You Feel Alive (Mixed),4QtlPS8UuKkBaATUVVn15a,36
254,The Kid LAROI,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),13EW51DKru044OJDJ9Bm8o,78
255,HALIENE,Walk Through Walls (Mixed) - Markus Schulz Remix,5Tuo7Zc8r8ITLMwKzTOmVu,36
256,DJ Khaled,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,82
257,Soulwax,NY Lipps - Dries Van Noten 2020 Remix,3E3IUPXd3EovxCo5mcRQtW,32
258,347aidan,Dancing in My Room,6Pgmqg15yVexuOgtzuxwoX,83
259,Elevven,One Last Time (Mixed) - Roman Messer Remix,2MwIeH57FmdRIoyxBczng0,35
260,Morgan Wallen,Still Goin Down,096YtKWNRXdmYKFLelSBto,74
261,Matys,Silent Waves (Mixed) - Vinny DeGeorge Remix,2tFVmk5lGliEqfULF9zPKG,36
262,Shawn Mendes,Wonder,5KCbr5ndeby4y4ggthdiAb,84
263,Allen Watts,Another You (Mixed),04PsH83LNB46Oo33hzPvtv,36
264,Diplo,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,75
265,Craig Connelly,Time Machine (Mixed),0MbIwfFvlLpK2yW6w3kmbd,36
266,Pop Smoke,Element,57BGVV6wcyhbn3hsjlqEZB,80
267,Aly & Fila,Somebody Loves You (Mixed),3X0Z0bewbCs8FYry04379l,35
268,Juice WRLD,Smile (with The Weeknd),6wQlQrTY5mVS8EGaFZVwVF,79
269,Giuseppe Ottaviani,Till We Meet Again (Mixed),6ScyathLctdgNtqrHFpJ25,35
270,J Balvin,UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,87
271,Andrew Rayel,Stars Collide (Mixed),5EIfMp3WDoGn5SL8fF8NUF,35
272,Lil Mosey,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,81
273,Jorn Van Deynhoven,Waiting On The Other Side (Mixed) - Club Mix,37Cfvau7AJ3Aj7H3zsX6qo,35
274,Taylor Swift,gold rush,5BK0uqwY9DNfZ630STAEaq,78
275,Ruben de Ronde,Wanderlust (Mixed) - Eugenio Tokarev Remix,6D7vBlmjLq1oMqSqqc43wp,35
276,Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,89
277,Brad Mehldau,VIII. yearning,2JLAr5J7fP4IsRtx9cLkWN,25
278,Polo G,Go Stupid,4PklAHGXT5ityno3IA8SKd,76
279,Graham Bell,The Sound Of Letting Go (Tribute To Yotam) [Mixed],0a2hPYweMJBKCByEHjZN94,35
280,Alexander 23,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,81
281,Nicholas Gunn,Fallen (Mixed) - Richard Durand Remix,3dxWdu9XWJcK81XnU8m4CS,35
282,Penelope Scott,Rät,25z6kpmIwkCUqk2IORrJ5v,78
283,Simon Patterson,Close My Eyes (Mixed),45urCkpNGy4NOMo3pswqUX,34
284,Dan + Shay,I Should Probably Go To Bed,5ovVcYo2MvjVydFwFyaaqy,75
